#cores  i_max       t_max       sec     speedup
1       1000        5000000     55.9851 1
2       1000        5000000     66.1503	0.846331762667743
4       1000        5000000     106.148 0.5274249161548028
6       1000        5000000     243.972 0.22947346416801928
8       1000        5000000     302.576 0.18502822431389138

1       10000       1000000     41.6412 1
2       10000       1000000     25.5649 1.6288426710059494
4       10000       1000000     35.5562 1.1711375231323933
6       10000       1000000     43.6191 0.9546551854577466
8       10000       1000000     66.4704 0.6264623050259965

1       100000      100000      109.229 1
2       100000      100000      90.7886 1.2031136067744188
4       100000      100000      88.3770 1.235943741018591
6       100000      100000      85.3329 1.2800338439218637
8       100000      100000      84.2801 1.2960236164883525

1       1000000     40000       130.711 1
2       1000000     40000       63.1736 2.069076323021009
4       1000000     40000       36.7343 3.5582820415796688
6       1000000     40000       29.1711 4.480838912485303
8       1000000     40000       25.6159 5.102729164308106

1       10000000    4000        117.748 1
2       10000000    4000        62.7459 1.8765847649009737
4       10000000    4000        46.8379 2.5139470386161635
6       10000000    4000        39.8997 2.9510998829565134
8       10000000    4000        38.9119 3.0260151778761766
